Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.939,1034.50,2770.00,"University Park, MD 207821429
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.933,1030.96,2761.75,"Middle River, MD 212203009
(39.34063999973637, -76.41931000025613)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.935,846.01,2764.41,"Silver Spring, MD 209065128
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.945,1037.67,2779.07,"Silver Spring, MD 209022348
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,2.012,1106.16,2874.74,"Salisbury, MD 218041958
(38.35523000006464, -75.57144000035555)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.96,1045.00,2800.00,"North Potomac, MD 208784205
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.03,1080.00,2900.00,"Potomac, MD 208543464
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.017,1108.65,2881.85,"Potomac, MD 208544080
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,1.957,929.50,2795.00,"Woodbine, MD 217979458
(39.344940000181055, -77.06468999994337)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,2.028,1078.99,2897.11,"St. Michaels, MD 216630163
(38.78567000007064, -76.22500000044948)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.018,1108.85,2882.50,"North Bethesda, MD 208523223
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.027,888.90,2896.00,"Parkville, MD 212343608
(39.38911000012655, -76.5410800003416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.964,908.50,2805.00,"Baltimore, MD 212292218
(39.28435000025246, -76.69177000038508)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.002,1066.00,2860.00,"Germantown, MD 208746208
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.994,1788.80,2849.23,"University Park, MD 207821110
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.03,639.00,2900.00,"Potomac, MD 208543460
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.031,1115.34,2901.00,"Silver Spring, MD 209105227
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.039,908.45,2913.31,"Takoma Park, MD 209124750
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.03,1115.00,2900.00,"Bethesda, MD 208176307
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.065,1132.50,2950.00,"University Park, MD 207822148
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.071,1100.65,2959.00,"Silver Spring, MD 209063753
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.041,1020.25,2915.00,"Bethesda, MD 208141120
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.03,1115.00,2900.00,"Silver Spring, MD 209012623
(39.01626999976082, -77.00851000013625)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.035,1017.63,2907.50,"Gaithersburg, MD 208822008
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.058,1129.00,2940.00,"Silver Spring, MD 209105235
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.06,1095.05,2943.00,"Damascus, MD 208722306
(39.28261999961347, -77.21232999962962)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.098,1026.45,2997.00,"Baltimore, MD 212085905
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.099,794.79,2998.56,"Dunkirk, MD 207549503
(38.734629999874755, -76.65581000043102)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.102,870.00,3003.00,"Baltimore, MD 212094405
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.105,1012.40,3006.85,"Gaithersburg, MD 208782078
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.074,997.15,2963.28,"Rockville, MD 208523220
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.09,1109.75,2985.00,"Baltimore, MD 212123408
(39.36462999987475, -76.61039000039807)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.08,1140.04,2971.54,"Frederick, MD 217019382
(39.425139999711405, -77.39080999968161)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,2.1,1150.00,3000.00,"Waldorf, MD 206034752
(38.62759000007861, -76.95633999999086)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.1,1115.00,3000.00,"Rockville, MD 208551963
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.108,1118.84,3011.00,"Gaithersburg, MD 208795638
(39.166600000289975, -77.18422000015272)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.152,1140.00,3074.00,"University Park, MD 207821169
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.135,1027.50,3050.00,"Gaithersburg, MD 208786105
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.141,1135.65,3059.00,"Gaithersburg, MD 208865663
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.132,1034.84,3046.00,"Severna Park, MD 211463723
(39.080199999930244, -76.5567400003506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.156,1178.00,3080.00,"University Park, MD 207822141
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.141,1135.30,3058.00,"Gaithersburg, MD 208773342
(39.14119000031843, -77.19101000031111)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.128,1164.00,3040.00,"Rockville, MD 208542629
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.139,1169.25,3055.00,"Baltimore, MD 212216008
(39.30641999998318, -76.45221999985296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.129,1164.34,3041.00,"Phoenix, MD 211311326
(39.50694000018103, -76.56867000012028)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.18,1067.32,3113.78,"Severn, MD 211443608
(39.12680000041985, -76.69114000011075)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.202,1062.50,3145.00,"Frederick, MD 217028539
(39.44454000042083, -77.44032999992942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.183,1156.65,3119.00,"Rockville, MD 208530110
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.188,1071.25,3125.00,"Parkton, MD 211209766
(39.646889999574, -76.67193000006932)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.19,1194.86,3128.20,"Gaithersburg, MD 208772701
(39.14119000031843, -77.19101000031111)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Harford,2.191,1073.00,3130.00,"Baltimore, MD 212241843
(39.28476999983582, -76.55652000009775)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.186,1114.33,3123.12,"Bishopsville, MD 218131549
(38.42706000031893, -75.18347999970206)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.182,1090.95,3117.00,"Annapolis, MD 214011706
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.177,1153.50,3110.00,"Montgomery Village, MD 208863961
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.246,954.70,3209.00,"Baltimore, MD 212094406
(39.37412000043781, -76.6702000003296)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.224,1211.95,3177.00,"Cabin John, MD 208181705
(38.974809999781826, -77.1599299996696)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.211,1105.30,3158.00,"Silver Spring, MD 209062112
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.226,1090.50,3180.00,"Ellicott City, MD 210425951
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,2.231,1042.72,3187.50,"Stevensville, MD 216662446
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.24,1220.23,3200.65,"Takoma Park, MD 209125736
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.275,1202.50,3250.00,"University Park, MD 207821055
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.286,1242.00,3265.00,"Potomac, MD 208544013
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.258,1129.09,3226.00,"Kensington, MD 208953934
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.3,1215.13,3286.07,"Silver Spring, MD 209063035
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.293,1106.74,3276.39,"Derwood, MD 208552571
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.258,1167.00,3225.00,"Rockville, MD 208533281
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.263,1108.89,3232.54,"Edgewater, MD 210374647
(38.92135999996418, -76.54055999974406)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.351,1175.59,3358.85,"Columbia, MD 210443785
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.336,1268.07,3337.33,"Chevy Chase, MD 208153847
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.352,1836.00,3360.00,"University Park, MD 207821189
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,2.341,1235.66,3344.75,"Cordova, MD 216252708
(38.871079999742335, -76.00205999966909)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.341,1170.61,3344.61,"Potomac, MD 208546348
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.336,1232.77,3336.50,"University Park, MD 207821188
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.335,1127.44,3335.55,"Upper Marlboro, MD 207744005
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.329,1264.69,3327.71,"Bethesda, MD 208176820
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.342,1132.50,3345.00,"Owings Mills, MD 211171804
(39.41747999990224, -76.78530000039456)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.347,834.82,3352.32,"University Park, MD 207821428
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.335,1267.73,3336.37,"Davidsonville, MD 210351329
(38.93626999956098, -76.633130000449)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.415,1062.50,3450.00,"Upper Marlboro, MD 207741447
(38.886099999915245, -76.8031400002107)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.408,1304.00,3440.00,"Washington Grove, MD 208801336
(39.13922000030294, -77.17517999965713)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.37,1284.75,3385.00,"Thurmont, MD 217881821
(39.603920000108076, -77.40742999989442)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.414,1271.80,3448.00,"University Park, MD 207821181
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.404,1397.50,3434.18,"Walkersville, MD 217938105
(39.48366999997069, -77.34529999999484)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.37,1215.52,3386.19,"Myersville, MD 217737906
(39.531659999809335, -77.55428000002183)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.411,783.55,3444.00,"Baltimore, MD 212142721
(39.352089999853774, -76.56387999956218)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.401,1265.50,3430.00,"Silver Spring, MD 209102340
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.363,1181.73,3376.40,"Rockville, MD 208524162
(39.050589999628926, -77.12018000030662)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.369,1002.00,3384.94,"Gaithersburg, MD 208823929
(39.228170000445346, -77.16269999970507)"
